distance_m,rain_rate_mmph,humidity_pct,visibility_km,Cn2,SNR_RF_dB,SNR_FSO_dB,SNR_THz_dB,C_RF_bps,C_FSO_bps,C_THz_bps,Eb_RF_J_per_bit,Eb_FSO_J_per_bit,Eb_THz_J_per_bit,best_channel,scenario
10.0,0.0,36.45058616983593,24.13695735821147,1e-15,50.99281208007342,72.81774539815319,48.01416750034694,338789139.74563247,1000000000.0,1000000000.0,2.951688477236353e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
20.0,0.0,36.45058616983593,24.13695735821147,1e-15,43.00159658294659,66.79291916369522,41.98163241121637,285697869.1807323,1000000000.0,1000000000.0,3.500201114091616e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
30.0,0.0,36.45058616983593,24.13695735821147,1e-15,40.353590787279884,63.267024868907356,38.44787205425179,268106113.58752957,1000000000.0,1000000000.0,3.7298664570493895e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
40.0,0.0,36.45058616983593,24.13695735821147,1e-15,36.98695984061368,60.76427937888443,35.93716214623484,245741815.92269582,1000000000.0,1000000000.0,4.0693115099083294e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
50.0,0.0,36.45058616983593,24.13695735821147,1e-15,34.79451409792772,58.82217968528877,33.98702671022275,231179312.77526534,1000000000.0,1000000000.0,4.325646564111568e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
60.0,0.0,36.45058616983593,24.13695735821147,1e-15,36.34152854680568,57.234711094489384,32.39146661341931,241454588.24717575,1000000000.0,1000000000.0,4.1415655310567363e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
70.0,0.0,36.45058616983593,24.13695735821147,1e-15,35.28015402008718,55.89197729351938,31.0405956449561,234404822.7864444,1000000000.0,1000000000.0,4.266123828480503e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
80.0,0.0,36.45058616983593,24.13695735821147,1e-15,30.9114603433173,54.728378930100895,29.86882152955141,205394679.1834843,1000000000.0,1000000000.0,4.868675293709409e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
90.0,0.0,36.45058616983593,24.13695735821147,1e-15,29.475267720687967,53.701602414738545,28.83383590475283,195861981.0373307,1000000000.0,1000000000.0,5.105636094885628e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
100.0,0.0,36.45058616983593,24.13695735821147,1e-15,31.020650682728075,52.78275588029761,27.90675091768837,206119543.78222838,1000000000.0,1000000000.0,4.85155352884213e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
110.0,0.0,36.45058616983593,24.13695735821147,1e-15,32.14941762498398,51.95123162028695,27.066962038672926,213613691.80178812,1000000000.0,1000000000.0,4.68134786476093e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
